station_id,tl,rf,ff,ffx,cglo,so_h,rr,rrm,tb10,tb20
2,99.94,99.78,100.0,100.0,99.93,100.0,99.82,100.0,99.92,99.94
3,99.98,99.99,99.99,99.99,99.99,100.0,99.97,99.99,100.0,99.04
7,100.0,100.0,99.96,99.96,99.93,100.0,98.82,99.91,100.0,93.69
13,99.72,99.72,99.71,99.71,99.72,100.0,99.63,99.73,98.75,99.11
18,99.94,99.99,99.99,99.99,99.99,100.0,99.88,99.99,99.65,99.99
24,99.98,100.0,99.56,99.56,99.99,100.0,99.68,100.0,91.12,91.12
30,99.98,99.99,99.96,99.96,99.97,100.0,100.0,100.0,99.99,99.99
31,100.0,100.0,99.99,99.99,100.0,100.0,99.97,100.0,99.88,100.0
32,99.99,100.0,99.98,99.99,99.99,100.0,99.95,99.93,99.93,99.93
46,99.94,99.95,99.94,99.96,99.95,100.0,99.98,99.99,99.96,99.96
47,99.96,99.96,99.47,99.47,99.95,99.95,99.85,99.95,95.13,99.47
48,100.0,100.0,100.0,100.0,99.98,100.0,100.0,100.0,99.99,99.99
49,100.0,99.31,99.82,99.82,99.99,100.0,100.0,100.0,100.0,100.0
54,99.99,99.99,99.81,99.81,99.99,100.0,99.94,99.99,100.0,100.0
55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
56,100.0,100.0,99.99,99.99,99.99,100.0,99.85,100.0,99.92,100.0
57,99.63,100.0,99.99,100.0,100.0,100.0,99.82,100.0,95.0,100.0
58,99.99,100.0,99.98,99.99,99.99,100.0,99.94,99.99,100.0,100.0
61,99.99,99.99,99.99,99.99,99.99,100.0,99.89,99.99,100.0,99.49
66,100.0,100.0,99.89,99.99,99.99,100.0,99.93,100.0,100.0,100.0
70,100.0,100.0,100.0,100.0,99.99,100.0,99.88,99.99,100.0,100.0
72,99.92,99.92,99.91,99.92,99.36,100.0,99.89,99.89,97.71,99.92
73,100.0,100.0,99.98,99.98,100.0,100.0,99.76,100.0,100.0,100.0
77,100.0,100.0,100.0,100.0,99.99,100.0,99.78,100.0,100.0,100.0
80,100.0,100.0,99.99,100.0,99.99,100.0,99.91,100.0,99.99,99.99
86,99.89,99.8,99.83,99.84,99.92,100.0,99.22,99.91,95.26,93.18
89,99.99,99.99,94.82,94.82,99.96,100.0,99.77,100.0,99.99,99.99
90,99.91,100.0,99.94,99.94,99.94,99.94,99.85,100.0,100.0,99.68
91,100.0,100.0,99.99,99.99,98.8,100.0,99.96,99.99,100.0,100.0
92,99.99,99.99,99.99,99.99,99.78,100.0,99.88,100.0,99.99,99.74
95,99.97,99.97,99.94,99.95,100.0,100.0,99.87,99.97,99.97,99.97
97,100.0,100.0,99.99,99.99,99.99,100.0,99.59,99.99,98.23,99.44
103,99.99,99.99,99.98,99.99,99.99,100.0,99.77,100.0,99.99,99.46
105,100.0,100.0,99.99,99.99,100.0,100.0,100.0,100.0,99.77,100.0
106,100.0,100.0,99.89,99.89,99.99,100.0,100.0,100.0,99.41,97.87
112,100.0,100.0,99.97,99.97,99.99,100.0,99.96,100.0,100.0,100.0
115,100.0,100.0,99.99,99.99,99.99,100.0,100.0,100.0,99.99,98.81
119,100.0,100.0,99.57,99.6,99.97,99.99,99.32,100.0,100.0,100.0
122,100.0,100.0,99.98,99.99,99.9,100.0,99.88,100.0,97.1,100.0
124,100.0,99.99,99.89,99.89,99.99,100.0,99.56,99.99,99.99,99.35
127,99.99,99.99,99.92,99.93,99.99,100.0,99.97,100.0,99.99,97.8
129,100.0,100.0,99.91,99.91,100.0,100.0,99.72,100.0,99.52,100.0
132,100.0,100.0,99.99,99.99,99.99,100.0,99.77,99.99,100.0,100.0
134,100.0,100.0,99.99,99.99,100.0,100.0,100.0,100.0,100.0,100.0
136,100.0,100.0,100.0,100.0,100.0,100.0,99.85,100.0,99.91,100.0
141,100.0,99.93,99.92,99.92,99.94,100.0,99.33,99.99,99.93,99.69
142,99.99,99.99,99.62,99.63,99.99,100.0,99.98,99.99,99.9,99.65
145,99.88,99.89,99.86,99.87,99.88,100.0,99.86,99.94,99.88,99.88
146,100.0,100.0,99.99,99.99,99.99,100.0,99.93,99.97,100.0,100.0
148,100.0,100.0,100.0,100.0,99.99,100.0,99.03,100.0,100.0,100.0
149,94.96,94.96,94.82,94.84,94.96,94.96,94.43,94.95,94.03,94.05
150,99.99,100.0,99.98,99.98,99.99,100.0,99.93,99.99,99.99,99.99
