series_key,nan_count,total_cells,percent_nan
FL_00024702.PLAN.MengeHH,0,658320,0.0
FL_00024730.PLAN.MengeHH,0,658320,0.0
FL_00352243.PLAN.MengeHH,0,658320,0.0
FL_00352244.PLAN.MengeGA,0,658320,0.0
FL_00352244.PLAN.MengeKW,0,658320,0.0
FL_00024360.PLAN.MengeGA,0,658320,0.0
FL_00352254.PLAN.MengeGA,0,658320,0.0
FL_00025248.PLAN.MengeGA,0,658320,0.0
FL_00024360.PLAN.MengeHH.2,0,658320,0.0
FL_00024731.PLAN.MengeHH,0,658320,0.0
FL_00024735.PLAN.MengeHH,0,658320,0.0
FL_00024667.PLAN.MengeHH,0,658320,0.0
FL_00352218.PLAN.MengeHH,0,658320,0.0
FL_00025240.PLAN.MengeHH,0,658320,0.0
FL_00025241.PLAN.MengeHH,0,658320,0.0
FL_00020896.PLAN.MengeHH,0,658320,0.0
FL_00342704.PLAN.MengeGA,0,658320,0.0
FL_00352054.PLAN.MengeHH,0,658320,0.0
CV_00348266.PLAN.Menge,0,658320,0.0
FL_00352254.PLAN.MengeHH,0,658320,0.0
FL_00352244.PLAN.MengeHH,0,658320,0.0
FL_00342704.PLAN.MengeHH,0,658320,0.0
CV_00003083.PLAN.Menge,0,658320,0.0
CV_00003181.PLAN.Menge,0,658320,0.0
CV_00003192.PLAN.Menge,0,658320,0.0
CV_00003191.PLAN.Menge,0,658320,0.0
CV_00003183.PLAN.Menge,0,658320,0.0
CV_00001876.PLAN.Menge,0,658320,0.0
CV_00003094.PLAN.Menge,0,658320,0.0
CV_00003089.PLAN.Menge,0,658320,0.0
CV_00007270.PLAN.Menge,0,658320,0.0
CV_00007300.PLAN.Menge,0,658320,0.0
KN_00001613.PLAN.Menge,0,658320,0.0
KN_00000069.PLAN.Menge,0,658320,0.0
KN_00000067.PLAN.Menge,0,658320,0.0
CV_00007809.PLAN.Menge,0,658320,0.0
FL_00352191.PLAN.MengeHH,0,658320,0.0
FL_00352189.PLAN.MengeHH,0,658320,0.0
KN_00001886.PLAN.Menge,0,658320,0.0
KN_00001602.PLAN.Menge,0,658320,0.0
FL_00352430.PLAN.MengeHH,0,658320,0.0
FL_00352208.PLAN.MengeHH,0,658320,0.0
FL_00024616.PLAN.MengeHH,0,658320,0.0
CV_00005607.PLAN.Menge,0,658320,0.0
CV_00005585.PLAN.Menge,0,658320,0.0
CV_00007283.PLAN.Menge,0,658320,0.0
CV_00003432.PLAN.Menge,0,658320,0.0
KN_00000073.PLAN.Menge.1,0,658320,0.0
KN_00001613.PLAN.MengeGA,0,658320,0.0
KN_00001886.PLAN.MengeKW,0,658320,0.0
KN_00001602.PLAN.MengeKW,0,658320,0.0
