station_id,tl,rf,ff,ffx,cglo,so_h,rr,rrm,tb10,tb20
1,99.99,99.99,99.92,99.84,99.99,100.0,99.57,99.99,8.47,0.0
3,99.98,99.99,99.99,99.99,99.99,100.0,99.97,99.99,100.0,99.04
2,99.94,99.78,100.0,100.0,99.93,100.0,99.82,100.0,99.92,99.94
6,99.28,99.28,99.06,99.09,99.27,99.62,99.4,99.46,0.0,0.0
5,99.93,99.93,99.93,99.93,0.0,100.0,98.95,99.92,0.0,0.0
8,99.99,99.99,99.98,99.98,99.95,100.0,99.98,99.98,0.0,0.0
4,99.97,99.97,99.85,99.86,99.99,99.99,99.67,99.97,9.45,24.29
9,99.89,99.89,99.85,99.86,99.85,99.9,99.37,99.86,5.45,17.97
11,99.6,99.6,99.45,99.45,99.59,99.6,99.58,99.58,0.0,0.0
7,100.0,100.0,99.96,99.96,99.93,100.0,98.82,99.91,100.0,93.69
10,100.0,99.65,99.99,99.99,99.99,100.0,99.78,100.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,99.72,99.72,99.71,99.71,99.72,100.0,99.63,99.73,98.75,99.11
14,100.0,100.0,100.0,100.0,99.99,100.0,99.86,99.99,0.0,0.0
16,78.5,78.5,99.95,99.96,99.98,100.0,78.3,78.5,63.89,54.74
17,99.92,99.92,99.81,99.81,60.08,99.93,99.69,99.93,0.0,0.0
15,99.97,99.97,99.87,99.87,99.99,100.0,99.89,99.96,8.93,8.93
18,99.94,99.99,99.99,99.99,99.99,100.0,99.88,99.99,99.65,99.99
20,99.95,99.95,99.94,99.94,99.94,100.0,99.92,99.95,0.0,0.0
21,99.88,99.88,98.64,98.98,55.74,100.0,99.89,99.89,0.0,16.08
23,99.7,99.72,99.6,99.6,99.6,100.0,99.64,99.91,0.0,0.0
19,100.0,100.0,99.99,99.99,0.0,100.0,99.92,99.99,99.99,99.99
25,100.0,100.0,99.99,100.0,100.0,100.0,99.35,99.97,0.0,0.0
22,99.88,99.88,99.45,99.46,99.85,100.0,99.79,99.85,63.03,99.88
24,99.98,100.0,99.56,99.56,99.99,100.0,99.68,100.0,91.12,91.12
26,99.84,99.84,92.06,92.06,99.77,100.0,99.73,99.76,87.01,71.8
27,99.27,98.33,99.26,99.27,0.0,100.0,98.84,99.26,0.0,0.0
29,42.91,56.69,56.68,56.68,0.0,56.74,55.67,56.68,12.78,12.78
28,99.96,100.0,91.87,91.88,91.88,92.19,99.8,99.99,0.0,0.0
30,99.98,99.99,99.96,99.96,99.97,100.0,100.0,100.0,99.99,99.99
31,100.0,100.0,99.99,99.99,100.0,100.0,99.97,100.0,99.88,100.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,99.11,99.11,98.55,98.55,99.11,99.12,97.93,98.99,15.1,9.77
37,100.0,100.0,99.81,99.84,99.99,100.0,99.72,99.99,99.76,100.0
38,100.0,100.0,99.67,99.67,100.0,100.0,100.0,100.0,0.0,0.0
39,100.0,99.99,99.82,99.82,99.9,100.0,100.0,100.0,61.13,16.29
40,100.0,100.0,99.99,99.99,99.99,100.0,99.84,99.99,100.0,95.39
42,99.9,99.9,99.89,99.89,99.89,99.91,99.7,99.89,0.0,0.0
43,100.0,100.0,99.99,100.0,99.99,100.0,99.52,100.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,99.96,99.96,99.47,99.47,99.95,99.95,99.85,99.95,95.13,99.47
46,99.94,99.95,99.94,99.96,99.95,100.0,99.98,99.99,99.96,99.96
48,100.0,100.0,100.0,100.0,99.98,100.0,100.0,100.0,99.99,99.99
50,99.94,99.94,100.0,100.0,100.0,100.0,99.67,99.87,0.0,0.0
51,100.0,100.0,99.99,100.0,99.99,100.0,99.99,100.0,100.0,81.5
44,99.96,99.96,99.89,99.44,99.99,100.0,99.88,99.99,0.0,0.0
53,99.99,99.71,99.99,99.99,99.98,100.0,99.71,100.0,0.0,0.0
52,99.98,99.98,99.97,99.92,99.98,100.0,99.94,100.0,99.98,60.27
55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
54,99.99,99.99,99.81,99.81,99.99,100.0,99.94,99.99,100.0,100.0
57,99.63,100.0,99.99,100.0,100.0,100.0,99.82,100.0,95.0,100.0
56,100.0,100.0,99.99,99.99,99.99,100.0,99.85,100.0,99.92,100.0
58,99.99,100.0,99.98,99.99,99.99,100.0,99.94,99.99,100.0,100.0
59,100.0,100.0,99.99,99.99,99.99,100.0,99.57,99.97,89.42,100.0
60,99.3,99.3,98.76,98.76,98.83,99.22,99.01,99.29,0.0,0.0
61,99.99,99.99,99.99,99.99,99.99,100.0,99.89,99.99,100.0,99.49
62,99.45,99.45,99.44,99.44,65.52,100.0,99.37,99.58,0.03,0.04
63,99.62,99.67,99.65,99.66,99.66,100.0,98.92,99.48,0.0,0.0
64,99.99,99.99,99.98,99.98,99.98,100.0,99.92,99.97,0.0,0.0
66,100.0,100.0,99.89,99.99,99.99,100.0,99.93,100.0,100.0,100.0
68,100.0,100.0,99.56,99.57,99.99,100.0,99.55,100.0,0.0,0.0
67,100.0,100.0,100.0,100.0,99.99,100.0,99.87,99.99,0.0,0.0
69,99.92,99.92,99.79,99.75,75.45,99.93,99.82,99.87,0.01,0.01
70,100.0,100.0,100.0,100.0,99.99,100.0,99.88,99.99,100.0,100.0
71,100.0,100.0,99.99,100.0,99.99,100.0,99.99,100.0,0.0,0.0
72,99.92,99.92,99.91,99.92,99.36,100.0,99.89,99.89,97.71,99.92
73,100.0,100.0,99.98,99.98,100.0,100.0,99.76,100.0,100.0,100.0
65,93.05,99.85,99.84,99.84,99.85,99.87,99.7,99.84,0.0,0.0
75,100.0,100.0,99.98,99.98,99.99,100.0,99.47,100.0,0.0,16.62
76,100.0,100.0,99.99,99.99,100.0,100.0,99.74,99.99,95.57,73.46
77,100.0,100.0,100.0,100.0,99.99,100.0,99.78,100.0,100.0,100.0
78,100.0,100.0,100.0,100.0,100.0,100.0,99.82,100.0,0.0,0.0
80,100.0,100.0,99.99,100.0,99.99,100.0,99.91,100.0,99.99,99.99
82,99.88,99.38,99.58,99.6,99.51,99.93,99.65,99.89,0.0,0.0
83,100.0,100.0,90.17,90.17,99.92,100.0,99.61,99.91,29.12,29.12
85,99.99,99.98,99.27,99.32,99.99,100.0,98.93,99.87,0.0,0.0
86,99.89,99.8,99.83,99.84,99.92,100.0,99.22,99.91,95.26,93.18
81,99.96,99.96,100.0,100.0,99.98,100.0,99.94,99.95,0.0,0.0
88,99.99,89.94,99.99,99.99,99.99,100.0,95.98,96.07,99.38,99.99
87,99.84,99.84,99.83,99.83,99.84,100.0,99.82,99.84,0.0,0.0
90,99.91,100.0,99.94,99.94,99.94,99.94,99.85,100.0,100.0,99.68
91,100.0,100.0,99.99,99.99,98.8,100.0,99.96,99.99,100.0,100.0
92,99.99,99.99,99.99,99.99,99.78,100.0,99.88,100.0,99.99,99.74
94,99.83,99.83,99.82,99.82,99.82,97.92,99.38,99.82,0.0,0.0
93,100.0,100.0,99.99,100.0,99.99,100.0,99.77,99.99,0.0,0.0
98,97.06,97.06,97.05,97.06,96.98,97.09,96.97,97.04,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,99.97,99.97,99.94,99.95,100.0,100.0,99.87,99.97,99.97,99.97
100,99.93,99.92,99.06,99.07,98.07,100.0,99.84,99.91,0.0,0.0
102,100.0,100.0,99.79,99.8,99.99,100.0,99.7,99.99,0.0,0.0
101,100.0,100.0,99.94,99.94,100.0,100.0,99.39,99.99,0.0,0.0
104,99.87,69.74,99.72,99.72,99.8,99.87,98.42,99.71,0.0,0.0
103,99.99,99.99,99.98,99.99,99.99,100.0,99.77,100.0,99.99,99.46
105,100.0,100.0,99.99,99.99,100.0,100.0,100.0,100.0,99.77,100.0
106,100.0,100.0,99.89,99.89,99.99,100.0,100.0,100.0,99.41,97.87
109,100.0,100.0,99.7,99.79,0.0,99.99,99.63,99.95,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,100.0,100.0,99.8,99.81,99.99,100.0,98.64,100.0,0.0,0.0
112,100.0,100.0,99.97,99.97,99.99,100.0,99.96,100.0,100.0,100.0
113,100.0,100.0,100.0,100.0,0.0,100.0,99.65,100.0,61.15,61.15
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,100.0,99.66,99.99,99.99,0.0,100.0,99.9,100.0,100.0,100.0
115,100.0,100.0,99.99,99.99,99.99,100.0,100.0,100.0,99.99,98.81
118,83.58,83.58,65.81,65.81,65.81,65.81,83.49,83.53,5.33,5.33
116,100.0,100.0,100.0,100.0,99.99,100.0,99.96,99.99,0.0,0.0
119,100.0,100.0,99.57,99.6,99.97,99.99,99.32,100.0,100.0,100.0
120,99.97,99.97,99.97,99.97,99.97,100.0,99.92,99.96,0.0,0.0
121,100.0,100.0,99.7,99.99,99.99,99.99,99.94,100.0,0.07,6.67
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,100.0,100.0,99.98,99.99,99.9,100.0,99.88,100.0,97.1,100.0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,100.0,99.99,99.89,99.89,99.99,100.0,99.56,99.99,99.99,99.35
126,100.0,100.0,100.0,100.0,100.0,100.0,99.58,99.99,0.0,0.0
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,100.0,100.0,99.91,99.91,100.0,100.0,99.72,100.0,99.52,100.0
130,99.99,99.99,99.97,99.97,99.99,100.0,100.0,100.0,0.0,0.0
131,99.97,99.97,98.32,99.92,0.0,100.0,99.1,99.96,0.0,0.0
132,100.0,100.0,99.99,99.99,99.99,100.0,99.77,99.99,100.0,100.0
133,99.8,99.8,99.98,99.99,100.0,100.0,99.74,99.79,0.0,0.0
134,100.0,100.0,99.99,99.99,100.0,100.0,100.0,100.0,100.0,100.0
136,100.0,100.0,100.0,100.0,100.0,100.0,99.85,100.0,99.91,100.0
137,100.0,100.0,99.93,99.93,99.99,100.0,99.77,100.0,0.0,0.0
139,99.99,99.99,99.7,99.7,99.99,100.0,99.82,99.99,0.0,0.0
138,99.57,99.57,99.42,99.51,85.71,85.75,99.51,99.79,85.34,85.34
140,99.96,99.96,99.95,99.95,0.0,100.0,99.68,99.97,0.0,0.0
127,99.99,99.99,99.92,99.93,99.99,100.0,99.97,100.0,99.99,97.8
144,100.0,100.0,99.99,99.99,99.92,99.73,99.54,100.0,0.0,69.01
141,100.0,99.93,99.92,99.92,99.94,100.0,99.33,99.99,99.93,99.69
145,99.88,99.89,99.86,99.87,99.88,100.0,99.86,99.94,99.88,99.88
142,99.99,99.99,99.62,99.63,99.99,100.0,99.98,99.99,99.9,99.65
146,100.0,100.0,99.99,99.99,99.99,100.0,99.93,99.97,100.0,100.0
148,100.0,100.0,100.0,100.0,99.99,100.0,99.03,100.0,100.0,100.0
147,95.07,95.1,93.26,93.27,93.28,93.43,94.99,95.04,0.0,0.0
149,94.96,94.96,94.82,94.84,94.96,94.96,94.43,94.95,94.03,94.05
150,99.99,100.0,99.98,99.98,99.99,100.0,99.93,99.99,99.99,99.99
151,98.15,98.15,98.13,98.13,98.15,98.15,97.93,98.15,0.0,0.0
152,100.0,100.0,99.99,99.9,99.99,100.0,99.88,100.0,56.9,0.0
171,100.0,100.0,99.92,99.92,99.99,100.0,99.91,99.99,0.0,0.0
169,99.99,99.99,99.98,99.99,99.99,100.0,99.97,99.97,97.0,95.95
170,99.99,99.99,99.92,99.92,99.99,100.0,99.97,100.0,0.0,0.0
173,99.88,99.99,99.37,99.39,99.99,100.0,99.74,99.98,0.0,0.0
174,99.62,99.62,99.61,99.61,86.52,86.8,99.4,99.8,0.0,0.0
176,99.95,99.63,95.89,95.89,95.9,94.81,88.39,89.44,0.0,0.0
177,0.0,13.43,13.17,13.24,6.84,0.0,12.87,13.15,0.0,0.0
178,100.0,100.0,99.99,99.99,100.0,100.0,99.76,99.99,0.0,0.0
175,100.0,100.0,99.97,99.97,99.98,100.0,99.99,99.99,100.0,99.94
180,99.91,99.44,99.98,99.99,0.0,100.0,99.8,99.98,0.0,0.0
182,99.84,99.84,99.82,99.83,99.84,100.0,99.83,99.83,0.0,0.0
