station_id,error
2,ArrowKeyError('A type extension with name pandas.period already defined')
30,ArrowKeyError('A type extension with name pandas.period already defined')
48,ArrowKeyError('A type extension with name pandas.period already defined')
54,ArrowKeyError('A type extension with name pandas.period already defined')
56,ArrowKeyError('A type extension with name pandas.period already defined')
77,ArrowKeyError('A type extension with name pandas.period already defined')
86,ArrowKeyError('A type extension with name pandas.period already defined')
90,ArrowKeyError('A type extension with name pandas.period already defined')
91,ArrowKeyError('A type extension with name pandas.period already defined')
95,ArrowKeyError('A type extension with name pandas.period already defined')
115,ArrowKeyError('A type extension with name pandas.period already defined')
122,ArrowKeyError('A type extension with name pandas.period already defined')
124,ArrowKeyError('A type extension with name pandas.period already defined')
132,ArrowKeyError('A type extension with name pandas.period already defined')
141,ArrowKeyError('A type extension with name pandas.period already defined')
145,ArrowKeyError('A type extension with name pandas.period already defined')
148,ArrowKeyError('A type extension with name pandas.period already defined')
154,ArrowKeyError('A type extension with name pandas.period already defined')
175,ArrowKeyError('A type extension with name pandas.period already defined')
181,ArrowKeyError('A type extension with name pandas.period already defined')
204,ArrowKeyError('A type extension with name pandas.period already defined')
222,ArrowKeyError('A type extension with name pandas.period already defined')
1920,ArrowKeyError('A type extension with name pandas.period already defined')
2114,ArrowKeyError('A type extension with name pandas.period already defined')
2207,ArrowKeyError('A type extension with name pandas.period already defined')
2503,ArrowKeyError('A type extension with name pandas.period already defined')
2601,ArrowKeyError('A type extension with name pandas.period already defined')
3805,ArrowKeyError('A type extension with name pandas.period already defined')
4081,ArrowKeyError('A type extension with name pandas.period already defined')
4115,ArrowKeyError('A type extension with name pandas.period already defined')
4125,ArrowKeyError('No type extension with name arrow.py_extension_type found')
4224,ArrowKeyError('A type extension with name pandas.period already defined')
5421,ArrowKeyError('A type extension with name pandas.period already defined')
5735,ArrowKeyError('A type extension with name pandas.period already defined')
5972,ArrowKeyError('A type extension with name pandas.period already defined')
6102,ArrowKeyError('A type extension with name pandas.period already defined')
7604,ArrowKeyError('A type extension with name pandas.period already defined')
7641,ArrowKeyError('A type extension with name pandas.period already defined')
7710,ArrowKeyError('A type extension with name pandas.period already defined')
10415,ArrowKeyError('A type extension with name pandas.period already defined')
10531,ArrowKeyError('A type extension with name pandas.period already defined')
11135,ArrowKeyError('A type extension with name pandas.period already defined')
11402,ArrowKeyError('A type extension with name pandas.period already defined')
13702,ArrowKeyError('A type extension with name pandas.period already defined')
14115,ArrowKeyError('A type extension with name pandas.period already defined')
16413,ArrowKeyError('A type extension with name pandas.period already defined')
16800,ArrowKeyError('A type extension with name pandas.period already defined')
19205,ArrowKeyError('A type extension with name pandas.period already defined')
